
[6/3/2022] [15:2:53] |INFO| > Just subsringed.
[6/3/2022] [15:2:53] |INFO| > Someone just downloaded the Launcher for Windows!
[6/3/2022] [15:25:50] |INFO| > A user just requested the current version of the Jade Launcher.
[6/3/2022] [15:25:53] |INFO| > A user just requested the current version of the Jade Launcher.
[6/4/2022] [9:30:8] |INFO| > Just subsringed.
[6/4/2022] [9:30:8] |INFO| > Someone just downloaded the Launcher for Windows!
[6/6/2022] [14:20:8] |INFO| > A user just requested the current version of the Jade Launcher.
[6/6/2022] [14:20:12] |INFO| > Just subsringed.
[6/6/2022] [14:20:12] |INFO| > Just subsringed.
[6/6/2022] [14:20:12] |SERVER ERROR| > nfoert just tried to sign in, but there was a problem checking password. list index out of range
[6/6/2022] [14:20:18] |INFO| > A user just requested the current news codes for the Launcher.
[6/6/2022] [14:20:18] |INFO| > Just subsringed.
[6/6/2022] [14:20:18] |INFO| > News data was just supplied for code blank
[6/6/2022] [14:20:18] |INFO| > Just subsringed.
[6/6/2022] [14:20:18] |INFO| > News data was just supplied for code blank
[6/6/2022] [14:20:19] |INFO| > Just subsringed.
[6/6/2022] [14:20:19] |INFO| > News data was just supplied for code blank
[6/6/2022] [14:20:20] |INFO| > Just subsringed.
[6/6/2022] [14:20:20] |INFO| > Just subsringed.
[6/6/2022] [14:20:20] |INFO| > Just subsringed.
[6/6/2022] [14:20:20] |INFO| > {username} just updated their Launcher ID, but needed to create an entry in the server.
[6/6/2022] [14:20:21] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/6/2022] [14:20:52] |INFO| > Just subsringed.
[6/6/2022] [14:20:52] |INFO| > Just subsringed.
[6/6/2022] [14:20:52] |SERVER ERROR| > nfoert just tried to sign in, but there was a problem checking password. list index out of range
[6/6/2022] [14:21:14] |INFO| > Just subsringed.
[6/6/2022] [14:21:14] |INFO| > Just subsringed.
[6/6/2022] [14:21:14] |INFO| > Just subsringed.
[6/6/2022] [14:21:14] |INFO| > Just subsringed.
[6/6/2022] [14:21:14] |INFO| > nfoert created a Jade Account.
[6/6/2022] [14:21:15] |INFO| > Just subsringed.
[6/6/2022] [14:21:15] |INFO| > Just subsringed.
[6/6/2022] [14:21:15] |INFO| > nfoert just signed in.
[6/6/2022] [14:27:18] |INFO| > A user just requested the current version of the Jade Launcher.
[6/6/2022] [14:27:18] |INFO| > Just subsringed.
[6/6/2022] [14:27:18] |INFO| > Just subsringed.
[6/6/2022] [14:27:19] |INFO| > nfoert just signed in.
[6/6/2022] [14:27:23] |INFO| > A user just requested the current news codes for the Launcher.
[6/6/2022] [14:27:23] |INFO| > Just subsringed.
[6/6/2022] [14:27:23] |INFO| > News data was just supplied for code lv0.0.7
[6/6/2022] [14:27:23] |INFO| > Just subsringed.
[6/6/2022] [14:27:23] |INFO| > News data was just supplied for code JABeta
[6/6/2022] [14:27:23] |INFO| > Just subsringed.
[6/6/2022] [14:27:23] |INFO| > News data was just supplied for code lv0.0.6
[6/6/2022] [14:27:25] |INFO| > Just subsringed.
[6/6/2022] [14:27:25] |INFO| > Just subsringed.
[6/6/2022] [14:27:25] |INFO| > Just subsringed.
[6/6/2022] [14:27:25] |INFO| > nfoert%0A just updated their Launcher Id status successfully.
[6/6/2022] [14:27:26] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/6/2022] [14:31:3] |INFO| > A user just requested the current version of the Jade Launcher.
[6/6/2022] [14:31:5] |INFO| > A user just requested the current news codes for the Launcher.
[6/6/2022] [14:31:5] |INFO| > Just subsringed.
[6/6/2022] [14:31:5] |INFO| > News data was just supplied for code lv0.0.7
[6/6/2022] [14:31:6] |INFO| > Just subsringed.
[6/6/2022] [14:31:6] |INFO| > News data was just supplied for code JABeta
[6/6/2022] [14:31:6] |INFO| > Just subsringed.
[6/6/2022] [14:31:6] |INFO| > News data was just supplied for code lv0.0.6
[6/6/2022] [14:31:7] |INFO| > Just subsringed.
[6/6/2022] [14:31:7] |INFO| > Just subsringed.
[6/6/2022] [14:31:7] |INFO| > Just subsringed.
[6/6/2022] [14:31:7] |INFO| > notSignedIn just updated their Launcher Id status successfully.
[6/6/2022] [14:31:8] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/8/2022] [15:15:33] |INFO| > Just subsringed.
[6/8/2022] [15:15:33] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:16:14] |INFO| > Just subsringed.
[6/8/2022] [15:16:14] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:16:34] |INFO| > Just subsringed.
[6/8/2022] [15:16:34] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:17:2] |INFO| > Just subsringed.
[6/8/2022] [15:17:2] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:17:23] |INFO| > Just subsringed.
[6/8/2022] [15:17:23] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:19:36] |INFO| > Just subsringed.
[6/8/2022] [15:19:36] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:19:44] |INFO| > Just subsringed.
[6/8/2022] [15:19:44] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:21:16] |INFO| > Just subsringed.
[6/8/2022] [15:21:16] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:21:28] |INFO| > Just subsringed.
[6/8/2022] [15:21:28] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:21:59] |INFO| > Just subsringed.
[6/8/2022] [15:22:0] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:22:7] |INFO| > Just subsringed.
[6/8/2022] [15:22:7] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:22:26] |INFO| > Just subsringed.
[6/8/2022] [15:22:26] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:30:25] |INFO| > Just subsringed.
[6/8/2022] [15:30:25] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:30:30] |INFO| > Just subsringed.
[6/8/2022] [15:30:30] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:30:49] |INFO| > Just subsringed.
[6/8/2022] [15:30:49] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:31:1] |INFO| > Just subsringed.
[6/8/2022] [15:31:1] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:33:7] |INFO| > Just subsringed.
[6/8/2022] [15:33:7] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:33:28] |INFO| > Just subsringed.
[6/8/2022] [15:33:28] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:34:2] |INFO| > Just subsringed.
[6/8/2022] [15:34:2] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:34:11] |INFO| > Just subsringed.
[6/8/2022] [15:34:11] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:34:22] |INFO| > Just subsringed.
[6/8/2022] [15:34:22] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:34:40] |INFO| > Just subsringed.
[6/8/2022] [15:34:40] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:35:27] |INFO| > Just subsringed.
[6/8/2022] [15:35:27] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:35:58] |INFO| > Just subsringed.
[6/8/2022] [15:35:58] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:36:15] |INFO| > Just subsringed.
[6/8/2022] [15:36:15] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:38:8] |INFO| > Just subsringed.
[6/8/2022] [15:38:8] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:38:48] |INFO| > Just subsringed.
[6/8/2022] [15:38:48] |INFO| > Someone just downloaded the Launcher for Windows!
[6/8/2022] [15:47:22] |INFO| > A user just requested the current version of the Jade Launcher.
[6/8/2022] [15:47:23] |INFO| > A user just requested the current news codes for the Launcher.
[6/8/2022] [15:47:24] |INFO| > Just subsringed.
[6/8/2022] [15:47:24] |INFO| > News data was just supplied for code lv0.0.7
[6/8/2022] [15:47:24] |INFO| > Just subsringed.
[6/8/2022] [15:47:24] |INFO| > News data was just supplied for code JABeta
[6/8/2022] [15:47:24] |INFO| > Just subsringed.
[6/8/2022] [15:47:24] |INFO| > News data was just supplied for code lv0.0.6
[6/8/2022] [15:47:26] |INFO| > Just subsringed.
[6/8/2022] [15:47:26] |INFO| > Just subsringed.
[6/8/2022] [15:47:26] |INFO| > Just subsringed.
[6/8/2022] [15:47:26] |INFO| > notSignedIn just updated their Launcher Id status successfully.
[6/8/2022] [15:47:26] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/8/2022] [15:47:36] |INFO| > Just subsringed.
[6/8/2022] [15:47:36] |INFO| > Just subsringed.
[6/8/2022] [15:47:36] |INFO| > nfoert just signed in.
[6/8/2022] [16:7:12] |INFO| > Just subsringed.
[6/8/2022] [16:7:12] |INFO| > Just subsringed.
[6/8/2022] [16:7:13] |INFO| > nfoert just signed in.
[6/8/2022] [16:7:14] |INFO| > A user just requested the current news codes for the Launcher.
[6/8/2022] [16:7:14] |INFO| > Just subsringed.
[6/8/2022] [16:7:14] |INFO| > News data was just supplied for code lv0.0.7
[6/8/2022] [16:7:14] |INFO| > Just subsringed.
[6/8/2022] [16:7:14] |INFO| > News data was just supplied for code JABeta
[6/8/2022] [16:7:15] |INFO| > Just subsringed.
[6/8/2022] [16:7:15] |INFO| > News data was just supplied for code lv0.0.6
[6/8/2022] [16:7:16] |INFO| > Just subsringed.
[6/8/2022] [16:7:16] |INFO| > Just subsringed.
[6/8/2022] [16:7:16] |INFO| > Just subsringed.
[6/8/2022] [16:7:16] |INFO| > nfoert%0A just updated their Launcher Id status successfully.
[6/8/2022] [16:7:16] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/8/2022] [16:15:52] |INFO| > A user just requested the current version of the Jade Launcher.
[6/8/2022] [16:15:53] |INFO| > Just subsringed.
[6/8/2022] [16:15:53] |INFO| > Just subsringed.
[6/8/2022] [16:15:53] |INFO| > nfoert just signed in.
[6/8/2022] [16:15:54] |INFO| > A user just requested the current news codes for the Launcher.
[6/8/2022] [16:15:54] |INFO| > Just subsringed.
[6/8/2022] [16:15:54] |INFO| > News data was just supplied for code lv0.0.7
[6/8/2022] [16:15:54] |INFO| > Just subsringed.
[6/8/2022] [16:15:54] |INFO| > News data was just supplied for code JABeta
[6/8/2022] [16:15:55] |INFO| > Just subsringed.
[6/8/2022] [16:15:55] |INFO| > News data was just supplied for code lv0.0.6
[6/8/2022] [16:15:56] |INFO| > Just subsringed.
[6/8/2022] [16:15:56] |INFO| > Just subsringed.
[6/8/2022] [16:15:56] |INFO| > Just subsringed.
[6/8/2022] [16:15:56] |INFO| > nfoert%0A just updated their Launcher Id status successfully.
[6/8/2022] [16:15:56] |INFO| > The current version of Jade Assistant was just supplied to a user.
[6/8/2022] [16:44:2] |INFO| > A user just requested the current version of the Jade Launcher.
[6/8/2022] [16:44:3] |INFO| > Just subsringed.
[6/8/2022] [16:44:3] |INFO| > Just subsringed.
[6/8/2022] [16:44:4] |INFO| > nfoert just signed in.
[6/8/2022] [16:44:6] |INFO| > A user just requested the current news codes for the Launcher.
[6/8/2022] [16:44:7] |INFO| > Just subsringed.
[6/8/2022] [16:44:7] |INFO| > News data was just supplied for code lv0.0.7
[6/8/2022] [16:44:7] |INFO| > Just subsringed.
[6/8/2022] [16:44:7] |INFO| > News data was just supplied for code JABeta
[6/8/2022] [16:44:7] |INFO| > Just subsringed.
[6/8/2022] [16:44:7] |INFO| > News data was just supplied for code lv0.0.6
[6/8/2022] [16:44:9] |INFO| > Just subsringed.
[6/8/2022] [16:44:9] |INFO| > Just subsringed.
[6/8/2022] [16:44:9] |INFO| > Just subsringed.
